Scientific Name	Scientific Name Synonyms	English Name	English Name Synonyms	Species Code	Element Code	Global Status	Global Status Review Date	Prov Status	Prov Status Review Date	Prov Status Change Date	COSEWIC	COSEWIC Comments	BC List	Provincial FRPA	Land Use Objectives	Ecosection	Prov Wildlife Act	GOERT	MBCA	SARA	SARA Comments	General Status Canada	CITES	Name Category	Class (English)	Species Level	Kingdom	Phylum	Class	Order	Family	Forest Dist	MOE Region	Regional Dist	Municipality	BGC	Habitat Subtype	Origin	Presence	Breeding Bird	Ecosystem Group	Endemic	CDC Maps	Mapping Status	
Abies amabilis - Thuja plicata / Rubus spectabilis Moist Maritime 1		Amabilis Fir - Western Redcedar / Salmonberry Moist Maritime 1		 	C2A2BAARS1	G3G4		S2	April 01, 2019	April 01, 2019	 	 	Red	 	South Central Coast LUO	LIM;NIM;OUF;WIM						 		Ecological Community		 	Plant Community	 	 	 	 	DCR;DSC;DSI	1	CRD;CVRD;ACRD;CXRD;STRD	Cumberland	CWHmm1/07					Terrestrial Realm - Forest: Coniferous - moist/wet		N		
Abies amabilis - Thuja plicata / Tiarella trifoliata Moist Maritime 1		Amabilis Fir - Western Redcedar / Three-leaved Foamflower Moist Maritime 1		 	C1A9CAATT2	G2	September 02, 2005	S2	April 01, 2019	June 15, 2000	 	 	Red	 	South Central Coast LUO	LIM;NIM;OUF;WIM						 		Ecological Community		 	Plant Community	 	 	 	 	DCR;DSC;DSI	1	CRD;CVRD;ACRD;CXRD;STRD	Cumberland	CWHmm1/05					Terrestrial Realm - Forest: Coniferous - mesic	Y	N		
Abies grandis / Berberis nervosa		Grand Fir / Dull Oregon-grape		 	C1A9CAGMN1	G1		S1	March 31, 2009	June 15, 2000	 	 	Red	 		FRL;GEL;JDF;NAL;SGI;SOG						 		Ecological Community		 	Plant Community	 	 	 	 	DCK;DCR;DSC;DSI	1;2	MVRD;CRD;CVRD;RDN;CXRD;STRD;PWRD;SCRD	Delta;Victoria;Highlands;Langford;Richmond;Central Saanich;Lantzville;Oak Bay;Qualicum Beach;Langley (District);Surrey;White Rock;View Royal;Colwood;North Saanich;Sidney;Metchosin;Vancouver;Parksville;Powell River;Sechelt;Esquimalt;North Cowichan;Saanich;Ladysmith;Nanaimo;Duncan	CDFmm/04					Terrestrial Realm - Forest: Coniferous - mesic		Y		
Abies grandis / Tiarella trifoliata		Grand Fir / Three-leaved Foamflower		 	C1A9CAGTT1	G1		S1	April 11, 2013	June 15, 2000	 	 	Red	 		FRL;GEL;JDF;NAL;SGI;SOG						 		Ecological Community		 	Plant Community	 	 	 	 	DCK;DCR;DSC;DSI	1;2	MVRD;CRD;CVRD;RDN;CXRD;STRD;PWRD;SCRD	Delta;Victoria;Highlands;Langford;Richmond;Central Saanich;Lantzville;Oak Bay;Qualicum Beach;Langley (District);Surrey;White Rock;View Royal;Colwood;North Saanich;Sidney;Metchosin;Vancouver;Parksville;Powell River;Sechelt;Esquimalt;North Cowichan;Saanich;Ladysmith;Nanaimo;Duncan	CDFmm/06					Terrestrial Realm - Forest: Coniferous - moist/wet		Y		
Abronia umbellata var. breviflora	Abronia umbellata ssp. acutalata;Abronia umbellata ssp. breviflora	Pink Sand-verbena		ABROUMB3	PDNYC010N2	G4G5T2	March 24, 2014	S1	April 30, 2019	May 20, 2004	E (May 2004)	Full Species	Red	 		 				1-E (Jul 2005)		 		Vascular Plant	dicots	Variety	Plantae	Anthophyta	Dicotyledoneae	Caryophyllales	Nyctaginaceae	DSI	1	CVRD;ACRD	 	CWHvh	Sand Dune;Beach	Native	Regularly occurring		 	N	Y		
Acaulon muticum var. rufescens		 		ACAUMUT1	NBMUS01012	G4G5T4	July 11, 1996	S1	April 29, 2015	March 28, 1997	 	 	Red	 		 						 		Nonvascular Plant		Variety	Plantae	Bryophyta	Bryopsida	Pottiales	Pottiaceae	DSI	1	CRD	 	 		Native	Regularly occurring		 	N	Y		
Accipiter gentilis laingi		Northern Goshawk, Laingi Subspecies		B-NOGO-LA	ABNKC12062	G5T2	April 06, 2016	S2	May 18, 2010	June 16, 1997	T (Apr 2013)	 	Red	Y (May 2004)		 				1-T (Jun 2003)		 		Vertebrate Animal	birds	Subspecies	Animalia	Craniata	Aves	Accipitriformes	Accipitridae	DCK;DCR;DNC;DNI;DQC;DSC;DSI;DSQ	1;2;6	CRD;CVRD;RDN;ACRD;CXRD;STRD;PWRD;SCRD;SLRD;MWRD;CCRD;SQCRD	 	CDF;CWH	Estuary;Riparian Forest;Pasture/Old Field;Cultivated Field;Hedgerow;Meadow;Conifer Forest - Mesic (average);Conifer Forest - Dry;Conifer Forest - Moist/wet;Mixed Forest (deciduous/coniferous mix);Krummholtz	Native	Regularly occurring	Y	 	N	Y		
Achnatherum nelsonii ssp. nelsonii		Nelson's Needlegrass		ACHNNEL2	PMPOA5X182	G5T5	January 24, 2012	S1S3	March 31, 2015	March 31, 2015	 	 	Red	 		 						 		Vascular Plant	monocots	Subspecies	Plantae	Anthophyta	Monocotyledoneae	Cyperales	Poaceae	 	 	 	 	 		Native	Regularly occurring		 		Y		
Acipenser transmontanus pop. 1		White Sturgeon (Upper Kootenay River Population)		F-ACTR-01	AFCAA01051	G4T1Q	February 17, 2006	S1	April 24, 2018	November 22, 1993	E (Nov 2012)	 	Red	 		 				1-E (Jun 2003)		 		Vertebrate Animal	ray-finned fishes	Population	Animalia	Craniata	Actinopterygii	Acipenseriformes	Acipenseridae	DKL	4	CKRD	Kaslo;Nelson	ICH	Stream/River	Native	Regularly occurring		 	N	Y		
Acipenser transmontanus pop. 2		White Sturgeon (Upper Columbia River Population)		F-ACTR-02	AFCAA01052	G4T3T4	January 29, 2003	S1	April 24, 2018	December 01, 1994	E (Nov 2012)	 	Red	 		 				1-E (Jun 2003)		 		Vertebrate Animal	ray-finned fishes	Population	Animalia	Craniata	Actinopterygii	Acipenseriformes	Acipenseridae	DAB;DCO	4	CKRD;CSRD;KBRD	Castlegar;Nakusp;Slocan;New Denver;Silverton;Revelstoke;Golden;Trail	ICH	Stream/River;Lake;Pond/Open Water	Native	Regularly occurring		 	N	Y		
